id,location,lon,lat
SIE07M,Przy wejściu,22.279614,52.170684
SIE04M,Przy stacji paliw Avia od strony torów kolejowych,22.2758992,52.1587624
SIE09A,Kwiaciarnia przy cmentarzu,22.2663875,52.1719861
SIE04N,Przy sklepie Topaz - Brofaktura,22.2722453,52.166917
SIE12A,Parking przy budynku,22.2843211,52.161377
SIE13M,Przy wejściu od ul. Brzeskiej,22.2876186,52.1619674
SIE420,Parking,22.2721597,52.1701267
SIE02G,Stacja paliw Axan,22.2899077,52.155778
SIE01M,Myjnia Bezdotykowa,22.246062,52.1675628
SIE04A,Przy sklepie Żabka,22.3209607,52.1622097
SIE02N,Pod reklamą po lewej stronie przy parkingu,22.2657883,52.1893089
SIE08A,Przy sklepie Arhelan,22.269275,52.1831729
SIE01N,Przy markecie Kaufland,22.2669492,52.1805352
SIE08M,Przy budynku,22.2777356,52.1802919
SIE11A,Przy wejściu do supermarketu Topaz,22.3189897,52.166655
SIE03A,Stacja paliw Axan,22.2788019,52.176225
SIE05N,Przy parkingu sklepu Topaz,22.299722,52.1540556
SIE09W,Przy budynku usługowym Konstpol,22.3117217,52.1616824
SIE07A,Przy wejściu do sklepu,22.2897429,52.1640909
SIE11M,Na parkingu,22.2972669,52.1665606
SIE10A,Przy wejściu,22.2922749,52.1704595
SIE17M,z boku sklepu Arhelan,22.2388747,52.1721427
SIE02BAPP,przy sklepie Fabryka Sypialni,22.2328654,52.1703941
SIE10M,Z boku budynku przy parkingu,22.2543738,52.1666604
SIE15M,Z tyłu budynku od ul. Obozowej,22.2562063,52.1563305
SIE02A,Przy markecie Carrefour,22.2519092,52.1599817
SIE16M,Parking przed sklepem AGMA,22.2866475,52.1481446
SIE07W,Gałązka Techniczne Zaopatrzenie Przemysłu i Rolnictwa,22.3076414,52.1480393
SIE09M,Przy ścianie sklepu Społem,22.245487,52.157284
SIE07N,parking przed sklepem,22.2446173,52.1533132
SIE06N,Przy wjeździe do sklepu Reaktor,22.2419359,52.1518505
SIE06M,Przy sklepie Kreator,22.2503987,52.1576571
SIE08W,Przy wejściu do sklepu Eurodom od ulicy Wojska Polskiego,22.2689802,52.1659408
SIE01APP,z boku budynku,22.2694392,52.1638743
SIE14M,Przy budynku myjni obok odkurzacza,22.2659505,52.1924341
SIE12M,Na parkingu za sklepem,22.2882033,52.1746279
SIE05M,Przy parkingu Topaz,22.2329234,52.1692147
