id,location,lon,lat
SRD02G,Stacja paliw BP,18.7832172,51.6014695
SRD02A,Przy markecie Kaufland,18.7138566,51.5964773
SRD02M,Na parkingu za Galerią Chińską,18.732708,51.5943084
SRD05M,Market Dino,18.7435426,51.5807109
SRD12M,Za sklepem Smaczek,18.7103479,51.5883006
SRD16M,Na parkingu przy salonie meblowym Olimp,18.7139581,51.5789376
SRD09M,Market Dino,18.7106753,51.576132
SRD11M,Przy sklepie ABC,18.6881992,51.5958683
SRD07M,Parking przy budynku Szkoły Żak,18.7086746,51.5906934
SRD10M,Market Dino,18.7891106,51.601123
SRD17M,Na parkingu marketu Aldi,18.7222732,51.5864501
