id,location,lon,lat
SLU04M,Na stacji Lotos,17.0613047,54.4592077
SLU09A,Przy pasażu Czerwona Torebka,17.0607132,54.4569211
SLU01G,Przy aptece,17.0419285,54.4623544
SLU04A,Przy markecie Biedronka,17.0310705,54.4672354
SLU02M,Przy sklepie PSS,17.0423385,54.4545322
SLU05M,przy salonie Black Red White,17.0397128,54.4737251
SLU03M,Przy sklepie PSS Społem,17.0004899,54.4753425
SLU06M,Przy parkingu Lidla,17.0146022,54.4740108
SLU10M,boczna ściana sklep z Lakierami Automax,17.0180761,54.4609043
SLU12A,Przy sklepie z materacami Koło,17.0148863,54.4632373
SLU04N,przy Rossmannie,17.0083479,54.4632725
SLU14A,Przy parkingu ADD Kasy,17.0049324,54.4617661
SLU07A,Przy parkingu strzeżonym,17.0017595,54.4602327
SLU14M,przy Netto,17.0119305,54.4695148
SLU02N,Przy markecie Biedronka,17.0105627,54.4671033
SLU12M,Salon Fryzjerski -Fabryka Fryzur,16.9938097,54.4653774
SLU05N,Parking przy sklepie Żabka,16.9888047,54.4634879
