id,location,lon,lat
SCH04A,Przy GramMarket,20.2298347,52.2167926
SCH03M,Na stacji paliw Moya,20.2187431,52.2069503
SCH09M,za sklepem,20.2728459,52.2570047
SCH10M,Na myjni bezdotykowej,20.2731716,52.2601944
SCH05M,Na parkingu obok sklepu,20.2516734,52.2412242
SCH08M,Market Dino,20.2442853,52.2497254
SCH11M,Przy Serwis AGD,20.2691681,52.2528167
SCH04M,Na parkingu PSS Lux,20.21227,52.1997
SCH08A,Obok sklepu Kaufland,20.2475406,52.2366227
SCH06M,Na myjni,20.226726,52.2300487
SCH01M,Na końcu parkingu Lidla,20.2386761,52.2271847
SCH01AP,Przy sklepie ABC,20.2266327,52.2404435
SCH02M,Przy sklepie Lux Społem,20.2294697,52.2371578
SCH03A,Przy sklepie Gram Market,20.2424561,52.2327519
SCH07M,Przy sklepie PSS Lux,20.2359894,52.2190949
SCH12M,Stacja Shell,20.2516599,52.2095619
