id,location,lon,lat
SOK02M,Przy sklepie Bricomarche,23.5219367,53.4118569
SOK06M,przy sklepie TopMarket,23.4786755,53.3980434
SOK921,Przy sklepie Memo,23.4955255,53.4039818
SOK02N,Na granicy działki od strony parkingu,23.4817346,53.4029637
SOK01M,Przy sklepie Arhelan,23.48638,53.4019
SOK09M,Płot po prawej stronie parkingu,23.5154151,53.4104598
SOK08M,przy bloku Broniewskiego 32,23.5153186,53.4118901
SOK05M,Przy sklepie Top Market,23.4963679,53.4071357
SOK07M,Przy bloku Kołłątaja 42,23.4994653,53.4039516
SOK04M,przy sklepie Top Market,23.5197982,53.3969837
SOK03M,przy Firmie Monitor Bis,23.5061395,53.4066479
SOK10M,przy sklepie spożywczym,23.5044384,53.4147653
