id,location,lon,lat
SPO02N,Przy sklepie z zabawkami Koala,22.2496752,52.4076683
SPO03N,Przy Centrum Ogrodniczym Replin,22.2321875,52.407341
SPO03A,"Przy sklepie Topaz, na tyłach parkingu",22.2410673,52.401761
SPO02M,Przy sklepie Topaz,22.2525009,52.4053981
SPO01M,Przy myjni bezdotykowej,22.2406355,52.4121432
SPO01A,Stacja paliw Axan,22.2216912,52.4067063
SPO03M,"Przy Drogerii Aurora, obok wejścia",22.2424105,52.4049353
SPO04M,"przy sklepie Topaz, po lewej stronie budynku",22.2228346,52.4066186
SMP01M,Przy sklepie Groszek,22.1140426,50.232721
SMP02N,Przy sklepie spożywczym Orzech,22.1235743,50.2358097
SPO06M,Przy budynku stacji paliw Topaz,22.2279187,52.4090695
SPO05M,Przy osiedlu Topolowy Zakątek,22.2477067,52.3970638
SPO01APP,Na parkingu sklepu spożywczego,22.2570815,52.4116514
SPO07M,Na parkingu sklepu Gama,22.2376833,52.4048788
SMP04M,Przy sklepie rowerowym,22.1185148,50.2310412
SPO08M,z boku sklepu,22.2547285,52.4059167
