id,location,lon,lat
SOS66M,Przy sklepie spożywczym Expert,19.1276005,50.2895847
SOS29M,Przy parkingu Sklepu Lewiatan,19.1930827,50.2888705
SOS67M,Aldi,19.2379704,50.2926909
SOS45M,Na Myjni Samoobsługowej,19.1483639,50.2678108
SOS04APP,Obok myjni,19.1210367,50.2820825
SOS76M,Obok Stacji kontroli pojazdów,19.13723,50.26362
SOS09M,Przy Salonie STIHL,19.1032741,50.2927495
SOS72M,Obok stacji,19.1083246,50.2918056
SOS75M,Obok sklepu,19.1858,50.28403
SOS74M,Obok producenta Palet,19.18432,50.3053
SOS73M,Na parkingu parafii,19.1887465,50.2860923
SOS71M,Obok Karczmy Monika,19.17818,50.27294
SOS70M,Obok sklepu,19.15022,50.27808
SOS69M,Obok Hotelu Orion,19.1447662,50.2671365
SOS68M,Obok Parafii za garażami,19.22835,50.26676
SOS65M,Przy prywatnej posesji,19.16146,50.26917
SOS64M,Przy sklepie Żabka,19.2229498,50.2779975
SOS62M,Przy bloku nr 85,19.1625823,50.247211
SOS60M,Obok Żelazna 24,19.1662829,50.245863
SOS58M,Przy firmie New Age Welding,19.13842,50.29515
SOS57M,Przy Centrum Obsługi Samochodów olicar,19.1841288,50.2956352
SOS56M,Przy Budynku Biurowym,19.1420313,50.2901309
SOS55M,Przy Sklepie Spożywczym,19.145368,50.2783066
SOS54M,Przy sklepie meblowym Vemak,19.17448,50.28778
SOS53M,Przy Pawilonie Handlowym,19.1565256,50.2956013
SOS51M,Na Myjni Samoobsługowej,19.1823431,50.3061151
SOS50M,Z tyłu budynku,19.1310755,50.2780604
SOS49M,Przy markecie Aldi,19.1579169,50.299351
SOS48M,Na Parkingu samochodowym,19.1157673,50.276206
SOS44M,Przy sklepie SPAR,19.1895534,50.2621427
SOS42M,Przy budynku mieszkalnym Wspólnoty Mieszkaniowej Podjazdowa 9,19.0949936,50.2905678
SOS41M,Market Dino,19.2006647,50.2744605
SOS40M,Przy Zakładzie Pogrzebowym MARIZA,19.1855452,50.3019868
SOS37M,Przy Delikatesach KUBIK,19.1461655,50.2748634
SOS34M,Przy prywatnej posesji,19.1838637,50.3038041
SOS33M,Przy sklepie ABC,19.17632,50.29016
SOS32M,Parking Targowiska Sosnowiec ul.Marszałka Edwarda Rydza-Śmigłego,19.1831046,50.2843509
SOS31M,Przy sklepie Lewiatan,19.2667648,50.2620967
SOS28M,Przy Piekarnio-Cukierni Maciuś,19.1888146,50.3068624
SOS27M,Przy markecie Kaufland,19.1759428,50.2837638
SOS26M,za sklepem Dealz,19.1286838,50.2755152
SOS24M,Przy cukierni Maciuś,19.1822,50.28002
SOS23M,Przy sklepie ODiDO,19.15474,50.30026
SOS21M,Przy Euro Sklepie,19.16802,50.26648
SOS20M,Boczna ściana stacji,19.1944585,50.3134774
SOS19N,Obok sklepu,19.1978,50.30204
SOS18N,Przy wjeździe na parking Uniwersytetu Śląskiego,19.12914,50.28578
SOS18M,Przy bydynku Usługowo-Magazynowym,19.1505275,50.2435043
SOS17M,Przy Parafii Św. Stanisława Biskupa i Męczennika,19.18143,50.26289
SOS16M,Przy Salonie fryzjersko kosmetycznym,19.1742183,50.2598722
SOS15N,Na parkingu przy biurowcu Ortal S.A.,19.1818378,50.2683711
SOS12N,"Przy biurowcu Szkłobudowa, przy hurtowni motoryzacyjnej Polcar",19.1152575,50.2959836
SOS11N,Na stacji Circle K,19.1055691,50.2845357
SOS11A,Obok sklepu,19.18532,50.28123
SOS10M,Na parkingu sklepu Lidl,19.1460777,50.2740105
SOS09A,Przy Centrum Rozrywki Sosnowiec JumpMax i MaxGym,19.1493378,50.2817964
SOS08M,Za sklepem Lidl,19.1795553,50.2855523
SOS08A,Przy drogerii Rossmann,19.1755717,50.283334
SOS07M,Przy sklepie Lidl,19.19152,50.30314
SOS06N,Przy Centrum Handlowym,19.1897883,50.3053504
SOS06APP,Obok bloku,19.12206,50.29182
SOS05N,Przy markecie Aldi,19.1483917,50.2767497
SOS05APP,Obok zakładu fryzjerskiego,19.19288,50.27396
SOS04M,Przy sklepie Lidl,19.1640191,50.2932121
SOS04B,Z tyłu CH ORION,19.1803414,50.2911839
SOS03G,obok sklepu,19.22147,50.27975
SOS03APP,Obok słupa ogłoszeniowego,19.17958,50.2967
SOS02N,Przy sklepie Aga,19.2286212,50.2716821
SOS02M,Przy sklepie Netto,19.0819643,50.2897672
SOS02H,W lokalu,19.13976,50.27994
SOS01N,Stacja paliw Circle K,19.1649482,50.2502462
SOS01M,Przy Piekarni Cukierni Kłos,19.1616341,50.2945884
SOS01HP,w sklepie Duży Ben,19.12217,50.28681
SOS01HO,Przy wejściu do CH Sosnowiec Plaza z parkingu podziemnego,19.12744,50.27509
SOS01H,W lokalu,19.14658,50.28151
SOS01APP,Obok Placu Zabaw,19.19665,50.29877
