id,location,lon,lat
STW03M,Przy Centrum Handlowym Vivo,22.0635138,50.5859761
STW01N,Przy sklepie Majster,22.0420779,50.5716039
STW02A,Przy wejściu po lewej stronie,22.0472857,50.5729885
STW03N,Przy myjni samochodowej,22.0532685,50.5704181
STW01G,Stacja paliw Lotos,22.0644734,50.5728234
STW04N,Przy komisie samochodowym,22.0386443,50.5959445
STW08M,Parking Lidl,22.0676709,50.5606716
STW13M,Przy Studiu Urody Folka,22.0523131,50.5775157
STW05N,Pomiędzy Piekarnią a Galerią Prima,22.0567007,50.5719513
STW01M,Przy głównym wejściu do sklepu Kaufland,22.0410562,50.5685438
STW04A,Przy Miejskim Zakładzie Budynków,22.0549279,50.5640504
STW07M,Po lewej stronie od wejścia do sklepu Carrefour,22.05754,50.58016
STW09M,Parking Lidl,22.0706033,50.5713306
STW10M,Przy sklepie spożywczym ABC,22.0408656,50.5886404
STW04M,Przy sklepie RYWAL-RHC vis-à-vis Unimet,22.080289,50.5455039
STW02M,Przy głównym wejściu na stadion lekkoatletyczny,22.0686039,50.5609586
STW05M,"Zajezdnia MKS, przy aptece, skrzyżowanie ulicy Orzeszkowej i Kwiatkowskiego",22.0444494,50.5563809
STW02N,"Myjnia bezdotykowa prywatna, przy przystanku autobusowym po prawej stronie na ścianie budynku",22.0637292,50.5733089
STW06N,Parking Mosir Stalowa Wola,22.055084,50.5617323
STW11M,Parking przy Szkole Podstawowej numer 11,22.0563279,50.5771472
STW12M,Przy sklepie Frac,22.065232,50.5709723
