id,location,lon,lat
STA01A,Paczkomat STA01A przy Delikatesach Centrum,21.0659925,51.0344537
STA04N,Paczkomat STA04N przy sklepie Kubuś,21.0667007,51.044364
STA01M,Paczkomat STA01M przy parkingu Galerii Na Skarpie,21.0780627,51.0481544
STA01N,Paczkomat STA01N przy sklepie Carrefour,21.0719524,51.0532651
STA03M,Paczkomat InPost STA03M od lewej wejścia do sklepu Robert,21.0506398,51.060174
STA13M,przy sklepie spożywczym,21.10585,51.0366615
STA10M,"Starachowice, Niepodległości 25",21.0733482,51.0349751
STA12M,"Starachowice, Aleja Wyzwolenia 45",21.0704882,51.0362742
STA18M,"Starachowice, Szkolna 1b",21.0760876,51.0568171
STA06M,"Starachowice, Radomska 43",21.0671265,51.0611065
