id,location,lon,lat
STB01BAPP,Na stacji BP,20.8457745,52.2473793
SDT01M,przy sklepie Groszek,19.9540896,53.189783
STP01M,Przy sklepie Odido,19.202101,54.048451
STP01A,przy Lewiatanie,19.19988,54.05494
SBL02M,Przy firmie KOWBUD od strony ul. Słonecznej,16.135329,54.1766611
SBL01A,Przy sklepie spożywczym,16.1132884,54.1801675
SQM01M,Boczny parking,22.4323349,50.2918019
SXU01M,przy Sali Gracja,22.0066064,53.1902235
XEL01M,Parking przy wejściu do Topaz Cash&Carry,22.1667866,52.1788134
XEL02M,od ulicy Jana Pawła przy przystanku,22.176605,52.1773514
SZA01M,"Przy sklepie Minuta 8, na parkingu",21.1198989,52.4809537
STJ01M,Market Dino,22.1645729,53.9194319
SEU01M,Frontowa Ściana Sklepu,21.1059389,50.0870657
