id,location,lon,lat
SSA01M,Wjazd od strony ulicy Stefana Batorego,20.6304016,49.5661677
SSC01A,Paczkomat przy markecie Biedronka,20.6113025,49.5610632
SSC02M,Na posesji przy płocie,20.6412873,49.5580804
SAH01M,przy ABC,19.1716284,53.9213564
SDV01M,Przy sklepie Groszek,22.9358056,50.2400273
SGX01M,Przy Sklepie,19.4028789,53.842106
SLT01AP,Przy markecie Stokrotka,21.9227853,52.9294037
SYB01M,Przy sklepie spożywczym,23.2994614,51.4789415
XRP01M,Przy sklepie spożywczym,21.6287127,51.7974283
SSC05M,Po lewej stronie od wjazdu na parking,20.6351008,49.5423295
SSC03M,Przy bramie wjazdowej,20.6361761,49.5703225
STBR01G,Piekarnia Ziarenko,19.1666215,50.9830248
SLAS01M,Przy sklepie spożywczym Rabat,17.4076,50.38049
SGQ01M,Przy sklepie Bort-Wimar,17.38778,50.65451
