id,location,lon,lat
SUW01A,Przy markecie Carrefour,22.9269715,54.1090214
SUW03A,Przy markecie Kaufland,22.9428594,54.1256498
SUW05N,przy bloku mieszkalnym,22.9211804,54.1239983
SUW04N,przy sklepie muzycznym,22.9394298,54.1190895
SUW02N,przy sklepie meblowym,22.9473987,54.1143796
SUW03N,Przy sklepie Media Markt,22.935785,54.1095216
SUW08A,Przy DH Arkadia,22.9328502,54.1038139
SUW02A,Przy sklepie Delikatesy Centrum,22.9324824,54.0974837
SUW07A,Przy kościele,22.9292806,54.0878088
SUW06A,Przy sklepie budowlanym Sabo,22.9428287,54.0987859
SUW04A,Przy sklepie Lewiatan,22.8985793,54.0993429
SUW06N,przy stacji Moya,22.8971381,54.0956461
SUW12M,parking sklepu Lewiatan,22.9053344,54.1049863
SUW02M,posesja prywatna,22.9230403,54.085147
SUW13M,przy przedszkolu Zielony Zakątek,22.9339884,54.0884627
SUW05M,na parking,22.9317362,54.0991349
SUW06M,przy sklepie Meta,22.9367511,54.0997795
SUW08M,przy Stacji Moya,22.9598661,54.097649
SUW04M,parking,22.9380189,54.1057784
SUW11M,Przy wejściu do Galerii od strony Dwernickiego,22.9330512,54.1070144
SUW14M,Tylna część budynku stacji Circle K,22.9286425,54.1101055
SUW03M,przy Lidlu,22.9343782,54.1102266
SUW02BAPP,przy sklepie Lewiatan,22.9438169,54.113598
SUW10M,Przy bloku Kowalskiego 5,22.9397388,54.1249358
SUW15M,przy Lidlu,22.9273917,54.1228342
SUW09M,ul. Daszyńskiego 3B naprzeciwko kontenerów PCK,22.9282623,54.1242308
SUW01M,przy sklepie spożywczym,22.9261767,54.1249024
SUW16M,przy sklepie Majster,22.9150036,54.0743243
