id,location,lon,lat
SWI02N,SWI02N,15.3914362,51.8879939
SVN01M,SVN01M,15.3832739,51.8885034
SVN02M,SVN02M,15.3944783,51.8895347
SWI15M,"Na lewo od wej�cia, za naro�nikiem budynku",16.4889373,50.857121
SWI09N,Przed wejsciem do sklepu z prawej strony.,16.4613632,50.8439659
SWI09M,"Po lewej stronie od wejscia, przy DRIVE InterMarche.",16.4643127,50.8419716
SWI06N,Po lewej stronie od wej�cia do sklepu Chata Polska,16.4781619,50.833025
SWI06M,"Po prawej stronie od wej�cia, przy parkingu Lidla",16.5028155,50.8412005
SWI03N,Przy sklepie POLOmarket,16.4924141,50.8434726
SWI01M,"Po prawej stronie od wej�cia do marketu, przy parkingu",16.4876713,50.8489553
