id,location,lon,lat
SWC04N,Przy zjeździe z ronda,18.9121217,50.2834368
SWC05N,Pomiędzy Parkiem Handlowym Zgoda a sklepem Biedronka,18.9081727,50.2758265
SWC04M,Przy sklepie Lidl,18.9120364,50.2824413
SWC01M,Lipiny Pl. Słowiański 3,18.8973185,50.3076645
SWC09M,Przy restauracji Relaks,18.9252234,50.2845031
SWC11M,Przy markecie DINO,18.9213373,50.3087182
SWC13M,Market Dino,18.91683,50.31324
SWC08N,Obok Stacji Paliw,18.90516,50.30389
SWC06M,Przy ALDI,18.911033,50.3112778
SWC02M,Przy sklepie Biedronka,18.91887,50.31685
