id,location,lon,lat
SYC01ML,Przy markecie POLOmarket,17.7246869,51.3123558
SYC07M,Na parkingu Spółdzielni Mieszkaniowej JAN,17.7098222,51.3111112
SYC02M,Przy Myjni,17.7317755,51.3182159
SYC04M,Przy pizzerii,17.7157203,51.312181
SYC01BAPP,Market Dino,17.7108123,51.3081352
SYC05M,Na tyłach sklepu PEPCO,17.7165389,51.3067146
SYC08M,Przy sklepie Lidl,17.7158442,51.3040149
SYC03M,Przy Netto,17.7165033,51.3034891
SYC06M,Przy Adres Browar,17.7045716,51.3044866
SYC01M,Po lewej stronie parkingu przy bezdotykowej myjni,17.7153585,51.2996637
