id,location,lon,lat
TRA03N,Przy sklepie Kaufland,21.6862207,50.5706901
TRA02M,Obok myjni na Stacji Paliw MOYA,21.6774557,50.567696
TRA12M,Myjnia Tixe,21.6906563,50.5770389
TRA04M,Tylny Parking Lidl przy ulicy Słonecznej,21.679967,50.5714005
TRA11M,Przy sklepie Supeco,21.6886385,50.5803061
TRA03M,Parking Lidl,21.6857555,50.5810605
TRA15M,Przy sklepie,21.6873527,50.5681793
TRA16M,Przy sklepie,21.7523205,50.632058
TRA07M,Przy sklepie PSB Mrówka,21.6929657,50.5860185
TRA10M,Pomiędzy stacją a myjnią automatyczną,21.6805967,50.5783301
TRA02N,Przy Parku Handlowym Markpol,21.6677557,50.5660785
TRA09M,Przy Delikatesach Centrum,21.6903727,50.5882251
TRA01M,Przy sklepie Majster,21.6921801,50.5707457
TRA14M,Tylny Parking Społecznej Akademii Nauk od strony bloków,21.668587,50.5706803
TRA06M,Po lewej stronie DH Kaskada (Stokrotka),21.6665111,50.5706743
TRA13M,Z lewej strony przy przystanku autobusowym,21.7044137,50.5698586
TRA05M,Boczna ściana domu Handlowego Jędruś,21.6812451,50.5745749
TRA08M,Z lewej strony cukierni Mała Słodka,21.7576198,50.602585
TRA17M,Przy Restauracji ANSER,21.6256605,50.5251312
