id,location,lon,lat
TAR05N,Przy Delikatesach Centrum,21.015762,50.0193306
TAR12N,Przy fontannie urzędu miasta,20.9869984,50.015248
TAR39M,Myjnia Samochodowa,20.9888548,50.0574021
TAR37M,Przy budynku prywatnym,20.9892119,50.0207548
TAR36M,Tył sklepu,20.9744314,50.0205616
TAR35M,Na parkingu przy sklepie Lidl,20.9286339,50.0146987
TAR34M,Posesja obok budynku Jasna 27,21.0048967,50.0167443
TAR32M,Sklep Bajpix,20.9271159,50.0013345
TAR30M,Przy salonie fryzjerskim Lidia Bałut,21.0142275,50.0232942
TAR28M,Przy wjeździe nr 2 od ulicy Goldhammera Budynek E/Basen,20.9902136,50.0174792
TAR27M,Przy sklepie,20.9625522,50.0348026
TAR26M,Z tyłu sklepu,21.0045452,50.0314568
TAR24M,Przy sklepie Lewiatan,20.9715842,50.01147
TAR22M,Przy Stacji Paliw,21.0108057,50.0582961
TAR21M,Parking kręgielni,20.9992,49.99442
TAR20M,"Parking Centrum Rehabilitacji Reha Medica, róg Wspólnej i Drzymały",20.991906,50.0076919
TAR19M,"Parking sklepu zoologicznego ""Motylanoga""",21.0092515,50.0136148
TAR18M,Przy sklepie meblowym,20.98662,50.00835
TAR16M,Parking Tylny C.H. Oscar,20.982914,50.0099271
TAR16A,Przy sklepie z suplementami diety Body Control,21.0073756,50.0225969
TAR15M,"Naprzeciwko Stacji Diagnostycznej ""SAM""",20.9095354,50.0003734
TAR14M,Przy budynkach usługowych,21.0104318,50.0269027
TAR14A,Przy Restauracji Kasyno,20.9173949,50.0128152
TAR13N,Parking Apteki Niskie Ceny,21.0089887,50.020059
TAR13A,Przy klubie Kasar,20.9944422,50.0211777
TAR12M,Przy stacji Traffo w osiedlu,21.0040643,50.0203025
TAR11N,Na parkingu przy sklepie Delikatesy Centrum,20.9351193,49.9997424
TAR11M,Przy stacji paliw Pegas,21.00837,50.00683
TAR10M,Przy sklepie Alkapone,21.0215769,50.0169387
TAR10A,Przy sklepie spożywczym Dąbrówka,20.91783,49.9993511
TAR09M,Parking Stacji CircleK,20.9767798,50.0177946
TAR09A,Stacja paliw CIRCLE K,20.9977681,50.0267921
TAR08N,Przy markecie Kaufland,21.0070386,50.0130038
TAR08A,Przy sklepie spożywczym Społem,20.9849024,49.9987933
TAR07N,Stacja paliw Grosar,21.0113645,50.0324479
TAR07M,Na posesji prywatnej na przeciwko salonu fryzjerskiego Avangarda,20.9359518,49.9936734
TAR07A,Przy sklepie Delikatesy Centrum,20.9965051,50.0424721
TAR06N,Przy Galerii Tarnovia,20.9589924,50.0013074
TAR06M,Przy sklepie Lidl,21.0131355,50.0351971
TAR06A,Przy sklepie Stokrotka,20.947902,49.9960445
TAR05M,Przy sklepie Lidl,21.0002793,50.0135022
TAR05A,Przy centrum Handlowym na dworcu autobusowym,20.9229415,50.0148716
TAR04N,Przy stacji Mądel,20.998511,50.0103283
TAR04A,Przy sklepie Groszek,20.9563779,50.0369857
TAR03N,Przy Centrum Handlowym Świt,20.9773199,50.0097395
TAR03M,Parking z prawej strony od wejścia do sklepu Lidl,20.9616296,50.0025939
TAR03H,Lokal przy Spółdzielni Rzemieślniczej Wielobranżowej,20.97569,50.01081
TAR03G,Stacja Paliw MOYA,21.0058978,50.0138551
TAR02N,Teren przy parkingu,20.9775906,50.0238038
TAR02M,Przy parkingu sklepu Lidl,20.9833491,50.0212235
TAR02HO,Przy kasach delikatesów ZENIT,20.99994,50.01742
TAR02H,Lokal Wałowa 6 naprzeciwko pomnika Łokietka,20.9858,50.01292
TAR02G,Przy sklepie Simply,21.0118883,50.0247928
TAR01M,Przy Dyskoncie Tania Odzież,20.9931701,50.0101725
TAR01HO,Wejście C / schody ruchome,21.0025761,50.0293782
TAR40M,"Naprzeciwko Stacji Diagnostycznej ""SAM""",20.9131909,50.0034262
