id,location,lon,lat
TCZ06A,Przy Sklepie,18.7882099,54.0978729
TCZ02M,Przy posesji prywatnej,18.7963475,54.0951013
TCZ07M,obok parkingu,18.8066813,54.0752916
TCZ04N,Przy hotelu First Hotel,18.8009182,54.0767523
TCZ04M,przy parkingu Lidla,18.7916689,54.0765097
TCZ11M,przy sklepie wielobranżowym,18.7912,54.08283
TCZ06M,przy wejsciu do budynku,18.7948252,54.0877466
TCZ02A,Parking restauracji Kanion,18.78672,54.0881642
TCZ02N,Przy markecie Carrefour,18.77602,54.09017
TCZ05M,Przy parkingu Lidla,18.7755913,54.0914534
TCZ12M,przy sklepie HSI,18.7647011,54.0932566
TCZ09M,przy Netto,18.7845049,54.0977783
TCZ08M,przy sklepie spożywczym,18.76579,54.10022
TCZ10M,Przy kościele Zielonoświątkowym,18.7788901,54.1014212
TCZ17M,Przy budynkach mieszkalnych,18.801472,54.0884848
TCZ14M,Przy Aldi,18.7647121,54.0978873
