id,location,lon,lat
TMS03A,Stacja Paliw TMF,20.0148128,51.5465702
TMS05A,Przy sklepie spożywczym,20.0280526,51.530968
TMS08A,Przy sklepie PSS Społem Łączność,20.0242116,51.5274494
TMS02N,Stacja paliw BP,20.0131419,51.5433758
TMS09A,Na stacji paliw MOYA,20.0273457,51.5484393
TMS10M,Na parkingu przy sklepie motoryzacyjnym,20.0170663,51.5540465
TML03M,Przy sklepie Gama,23.4047904,50.4380394
TML01ML,Przy markecie Intermarche,23.4210436,50.4358711
TML04M,Przy budynku Tomspin,23.4133786,50.4514616
TML01M,Za sklepem Gama,23.4177407,50.4532113
TML06M,Przy punkcie XERO,23.4192158,50.45558
TML02M,Przy sklepie Gama,23.4042684,50.4548218
TML05M,Przy Żabce,23.4201516,50.4346975
TMS06N,Przy sklepie Lewiatan,20.0193459,51.5248018
TMS11M,Stacja Pieprzyk,20.0378646,51.5288015
TMS06M,Na parkingu przy Lidlu,20.0199661,51.5310923
TMS02M,Przy wjeździe na parking od ul. Legionów,19.9963883,51.5340094
TMS09M,Na parkingu Galerii Tomaszów,20.0053292,51.5350754
TMS04N,Na stacji LPG na końcu parkingu,19.9958701,51.5429423
TML11M,Myjnia 24H,23.4391122,50.4499514
TML10M,Społem LUX,23.4208144,50.4433874
TML09M,PSS GAMA,23.4144728,50.4354759
TML07M,MEBLODOM,23.4210711,50.4624683
TMS15M,Na parkingu za apteką Salubris,20.0058543,51.5454571
