id,location,lon,lat
WAW195AP,Stacja paliw BP,20.9152087,52.2193286
WAW730M,"Warszawa, Bełdan 2",21.0104714,52.1713436
WAW105A,Stacja paliw Circle K,21.0509731,52.2925691
WAW11AP,Stacja Paliw BP,20.9711438,52.3200876
WAW129A,Stacja Circle K,21.0360944,52.2999841
WAW16A,Stacja paliw BP,20.9546322,52.1848546
WAW207AP,Stacja paliw AMIC ENERGY,20.9477044,52.3467481
WAW18A,"Przy stacji BP, po lewej stronie od wejścia",20.9878037,52.3034387
WAW02B,Biurowiec PLL Lot,20.9694723,52.1828663
WAW72AP,Przy Drogerii Rossmann,20.9581512,52.1894246
WAW20A,Przy sklepie Nikon,20.9407163,52.1947712
WAW21A,Przy wejściu do budynku Tajfun,20.9397908,52.2021759
WAW70A,Na parkingu,20.95214,52.2017984
WAW27B,Przy Hotelu Novotel Warsaw Airport,20.9803841,52.1905462
WAW17M,Przy parkingu na terenie Business Garden II,20.9819411,52.189792
WAW05B,Przy budynku Administracji SM Miła,20.987766,52.2465989
WAW52A,Przy bloku mieszkalnym,20.9841124,52.2500354
WAW127AP,Stacja paliw Shell,21.0302869,52.2745268
WAW139AP,Przy parkingu na ulicy Kinowa 19,21.0710121,52.2424897
WAW13B,Przy sklepie Netto,21.0644818,52.3243154
WAW11A,Przy markecie,20.9066356,52.239535
WAW91A,Przy SBM Ruda,20.9766091,52.2813092
WAW58N,Stacja paliw Circle K,21.0232526,52.1987029
WAW436,Stacja paliw Circle K,20.9775151,52.3151735
WAW124A,obok baru Pod Dębami,20.9535312,52.3314529
WAW118A,Przy Sklepie Doroty,20.9802285,52.2780824
WAW698M,Obok wjazdu na parking od strony ulicy Tokarz,21.0490476,52.2972533
WAW150A,Przy markecie Lewiatan,21.0481499,52.339757
WAW43N,Przy piekarni Putka,20.9162613,52.2475026
WAW757M,Za sklepem,20.9781813,52.2853579
WAW120A,Przy myjni samochodowej,20.954566,52.3321847
WAW85AP,Stacja paliw BP,20.92362,52.1934437
