id,location,lon,lat
WEJ05N,Przy przedszkolu Mapeciaki,18.1936025,54.6061312
WEJ01N,Stacja paliw BP,18.2244929,54.6070554
WEJ06A,Przy markecie budowlanym Bricomarche,18.2275963,54.6068528
WEJ01M,na parkingu Lidla,18.2318283,54.6067046
WEJ05M,Trawnik z boku budynku,18.2318651,54.6015051
WEJ02A,Przy Kaszubskim Banku Spółdzielczym,18.2407291,54.6028908
WEJ01A,Przy sklepie Żabka,18.2568815,54.6018736
WEJ05A,Przy parkingu kościoła,18.2620487,54.6058046
WEJ04M,Na parkingu sklepu Lidl,18.2646484,54.6023111
WEJ06M,Myjnia samoobsługowa,18.2686789,54.6009466
WEJ04N,Przy automyjni,18.2730037,54.6031067
WEJ04A,Przy salonie BRW,18.291352,54.6026587
WEJ11M,Przy kiosku,18.2625302,54.6067513
WEJ01BAPP,na parkingu,18.2231206,54.6031099
WEJ03A,Przy markecie Kaufland,18.247634,54.6092311
WEJ10M,Przy budynku usługowym,18.2933583,54.6112845
