id,location,lon,lat
WUH01M,Przy sklepie Groszek,23.6221049,51.3222807
WMO01M,przy markecie Dino,19.7117979,51.4908943
WZR01M,Przy Sklepie Groszek,22.2363003,50.297583
WZG01M,Przy sklepie GS 24,21.8035498,49.9927478
WBA01G,Przy sklepie Gaj,21.5560531,50.4574875
WOM01M,Boczny parking stacji Top Gaz/ lewa strona,21.3906662,50.2815639
WBA01M,Parking przy skrzyżowaniu obok ośrodka zdrowia,21.5668113,50.4614787
WRV01M,Przy Naszym Sklepie,21.9363051,50.295475
WOG01M,Od ulicy Orzechowej,20.9254069,52.0545244
WOM02M,Przy wschodniej ścianie pawilonu Passa,21.3880044,50.2814496
WWZ01M,Na parkingu przy OSP Wola Wiązowa,18.91079,51.32544
WXR01M,Market Dino,20.8204509,50.0936076
WRD05M,Na parkingu przed sklepem,21.0980941,50.0445888
WRD04M,Przy wejściu do sklepu,21.0422077,50.0272413
WRD03M,Przy wjeździe do sklepu ogrodniczego,21.0639209,50.0390355
WRD02M,Boczna Ściana sklepu,21.0767933,50.0398607
WAM01M,Sklep Spożywczo-Przemysłowy,21.0124242,50.2677294
WBLA01M,Market Dino,19.31403,51.12505
VOK02M,Sklep Od i Do,19.10923,50.861
WLRA01BAPP,Przy OSP,22.7571464,50.325632
WOLM01M,Na parkingu przy sklepie mięsnym Kępa,19.3082407,51.4028818
WOTA01M,Przy sklepie spożywczym,21.0467195,51.4495132
