id,location,lon,lat
WLW01A,Przy markecie Intermarche,16.6577032,51.3336072
WLW01M,Przy sklepie spożywczym Livio,16.6321438,51.3312735
WLW04M,Market Dino,16.6454708,51.3390518
WLW02M,Przy parkingu Lidla.,16.6457943,51.3405658
WLW08M,Obok sklepu motoryzacyjnego,16.6651776,51.330901
WLW06M,Boczna ściana sklepu meblowego,16.641339,51.3384216
WLW07M,Boczna ściana budynku,16.6387431,51.3404394
WLW05M,Bok pawilonu,16.6423831,51.3356619
WLW03M,Na parkingu,16.6314749,51.3302624
WLW01APP,Za sklepem Netto,16.6372814,51.3326898
WLW02A,Przy Polomarket,16.6347485,51.3385018
