id,location,lon,lat
WRO07L,Budynek handlowy przy s.m. Południe,17.0446684,51.0850236
WRO06B,Przy sklepie Społem,17.0330019,51.1289307
WRO93M,Przy sklepie odzieżowym.,17.0453239,51.089299
WRO154M,Na rogu sienkiewicza/reja,17.0578743,51.1158588
WRO23M,Przy sklepie Żabka,17.1312244,51.1579465
WRO45N,Przy wejściu do supermarketu Spar,17.0031655,51.0680662
WRO91M,"Przy przystanku autobusowym, obok wjazdu na teren UEW",17.0271404,51.0894473
WRO90M,Przy firmie Future World,17.0109826,51.0650603
WRO87M,Przy sklepie Aldi,17.0602955,51.1330182
WRO82M,Przy siedzibie S.M. Wojewodzianka,17.0205686,51.0887192
WRO81M,Przed wjazdem po prawej stronie.,16.8986958,51.1436418
WRO68M,Przy parkingu na ulicy Modelskiego,16.8748443,51.162972
WRO51M,Przy sklepie Lidl,17.0259339,51.1376661
WRO49M,Przy serwisie samochodowym,16.9743341,51.1336027
WRO46M,Przy budynku przedszkola,16.8976852,51.1414498
WRO38N,"Przy sklepie Netto, niedaleko wjazdu na parking",16.9656481,51.1153816
WRO36M,Market Dino,17.0724999,51.1380317
WRO32A,Przy sklepie Astech,16.9247,51.12326
WRO27M,Przy parkingu za blokami,16.8657956,51.1495564
WRO229M,Przy Starterze I,17.0709043,51.1139041
WRO220M,Przy placu zabaw,17.1346631,51.1565018
WRO21M,Przy szkole Tenisa,16.973505,51.1393967
WRO219M,Stacja Paliw Omega,17.0498788,51.0835177
WRO218M,Obok sklepu z warzywami,16.98251,51.1232379
WRO215M,trawnik przed budynkiem,17.0451082,51.1188657
WRO20M,Przy sklepie Kiosk,17.0094833,51.0841675
WRO205M,Parking przed blokiem,16.8637455,51.1520664
WRO19A,Stacja paliw BP,16.980949,51.1272764
WRO198M,Przy firmie Whirlpool,17.1183523,51.155643
WRO195M,Przy Prywatnej Posesji.,17.0909784,51.0697495
WRO184M,Przy klatce mieszkaniowej nr 5,17.0781079,51.0693762
WRO174M,Prywatna posesja,16.89843,51.13561
WRO165M,Przed sklepem Ponik,17.0325695,51.1383711
WRO163M,Przy pawilonie Pierogarni,16.9507001,51.1190185
WRO144M,Przy warsztacie samochodowym,17.0326542,51.1406327
WRO142M,Przy budynku 10A,17.07733,51.06583
WRO13M,Przy przedszkolu,17.1308387,51.1628248
WRO126M,Na osiedlu,17.07848,51.13747
WRO124M,Na terenie osiedla,17.13711,51.15935
WRO113M,Przy posesji,17.0046239,51.0696493
WRO10M,Na terenie stacji paliw Mol,16.9559607,51.081245
WRO09N,Przy Aptece Lege Artis,17.0327379,51.0621999
WRO351M,"Na terenie Osiedla, przy klatce numer 9",17.0807216,51.0672223
WRO07A,Przy stacji Shell,17.0630502,51.0919053
WRO04N,Stacja paliw Lotos,17.0378786,51.1302174
WRO02B,Stacja paliw AMIC ENERGY,17.0782013,51.1305729
WRO278M,Przy barze Kęs,16.9878973,51.0676366
WRO270M,Na szczycie bloku,17.13355,51.14321
WRO268M,Na szczycie bloku przy klatce schodowej nr 107,17.1362813,51.1444247
WRO266M,Na szczycie bloku od ulicy Litewskiej,17.1397601,51.1432489
WRO236M,Przejście budynku,17.0024223,51.1164717
WRO182M,"parking przy hostelu, dziedziniec wewnętrzny",17.0599186,51.1165601
WRO105M,Na wjeździe do biurowca,17.0379698,51.1062703
WRO12H,Suwalska 2a,16.9276615,51.1521384
WRO331M,Henryka Sienkiewicza 52,17.0518614,51.1171149
WRO230M,Przy wejściu do marketu Aldi,16.9751895,51.1277775
WRO245M,Przy ścianie budynku,16.869767,51.1457988
WRO297M,Przy wjeździe na teren budynku usługowo - handlowego,16.8989511,51.1546616
WRO298M,Wzdłuż płotu parafii,17.0141941,51.1150889
WRO09H,W lokalu,17.0451169,51.0786303
