id,location,lon,lat
ZBA01A,Przy markecie Kaufland,21.1157823,52.2789202
ZBA03M,Przy sklepie Stokrotka,21.1304731,52.2821821
ZBA04N,Przy auto myjni Żaba,21.1153637,52.2837679
ZBA02N,Przy sklepie Prim Market,21.1030254,52.2948092
ZBA01N,Przy myjni bezdotykowej,21.125757,52.2846571
ZBA01M,Przy sklepie Lidl,21.1130959,52.2819822
ZBA03AP,Przy drogerii Rossmann,21.1168822,52.2790033
ZBA03N,Przy Lider Kebab,21.1152991,52.2890537
ZBA04M,Na skrzyżowaniu Ulic Kopernika i Powstańców,21.1280751,52.2796855
ZBA14M,na parkinku sklepu spożywczego,21.1278591,52.2913619
ZBA06M,"Przy basenie miejskim, po lewej stronie od bramy wjazdowej",21.1216064,52.2904408
ZBA09M,Przy sklepie spożywczym,21.1241965,52.2843346
ZBA07M,przy wejściu od ul. Złotej,21.1311336,52.2797355
ZBA12M,Na parkingu sklepu spożywczego,21.1008248,52.2851073
ZBA10M,Na parkingu budynku biurowego,21.1096481,52.298008
ZBA11M,Obok skrzyżowania z ulicą Księdza Piotra Skargi,21.0970697,52.299461
ZBA08M,Na elewacji KFC od strony parkingu,21.0904244,52.3036904
ZBA02M,Przy myjni bezdotykowej,21.1000316,52.304177
ZBA13M,Przy lokalu gastronomicznym PLENER,21.1292071,52.2793877
ZBA02APP,Na działce od strony ulicy Kołłątaja,21.1126524,52.2872913
