id,location,lon,lat
ZAB01M,Przy sklepie Gagalon,18.8172541,50.2810358
ZAB24M,ALDI Zaborze Wolności 500,18.8295588,50.2975222
ZAB55M,PGM Helenka,18.80638,50.37754
ZAB54M,Stacja Demontażu Pojazdów,18.79064,50.26894
ZAB51M,Targowisko Zabrze Boboli,18.7871,50.30869
ZAB50M,Delikatesy Kubik Zabrze Dulęby,18.7888,50.36965
ZAB48M,Śląskie Centrum Chorób Serca Zabrze,18.77979,50.31378
ZAB47M,Posesja Zabrze Jordana,18.80905,50.3785
ZAB46M,Galeria Zabrze Matejki,18.78144,50.29023
ZAB45M,Sklep Budowlany STAKOM Zabrze Paderewskiego,18.79565,50.27117
ZAB44M,Posesja Zabrze Franciszkańska 2,18.76728,50.31199
ZAB43M,Piekarnia ROKER Zabrze Nowodworska,18.77125,50.33818
ZAB42M,Posesja Zabrze Baczyńskiego 4,18.81311,50.3754
ZAB41M,Posesja Zabrze Budowlana,18.786,50.36369
ZAB39M,Posesja Zabrze Gdańska 44,18.76356,50.31702
ZAB38M,Shell Zabrze Skłodowskiej Curie,18.77368,50.31379
ZAB37M,Parking Sądu Rejonowego w Zabrzu,18.78493,50.3002
ZAB35M,Cukiernia Chrup Ciastki Zabrze Makoszowy,18.76277,50.26475
ZAB34M,FAMILIO Bedestinusa 1,18.7672611,50.3598857
ZAB32M,Market Dino,18.8139733,50.288917
ZAB31M,Zabrze Metalowiec II,18.78178,50.29731
ZAB25M,ALDI Zabrze Miarki,18.7850055,50.3097503
ZAB22M,obok posesji,18.789884,50.30056
ZAB21M,obok Apteki Sąsiedzkiej,18.7650275,50.3615067
ZAB19M,Parking Centrum Handlowego,18.7871847,50.3282364
ZAB17M,Obok Posesji,18.7803861,50.291289
ZAB16M,Posesja prywatna ul. Sienkiewicza,18.7896,50.29634
ZAB14N,Obok hurtowni Małe Zoo,18.81902,50.28838
ZAB13N,Na stacji paliw Moya,18.7966702,50.2993933
ZAB10M,Parking za sklepem Lidl,18.79125,50.3661
ZAB07N,Stacja paliw AMIC ENERGY,18.7844599,50.309229
ZAB07M,Przy sklepie Lidl,18.78512,50.33664
ZAB06M,Pawilon handlowy Arkada,18.7782358,50.2959326
ZAB05N,Przy Centrum Handlowym M1,18.75092,50.3179
ZAB05A,Przy bocznej ścianie sklepu Alkohole Menada,18.7897452,50.3679882
ZAB04M,Na parkingu sklepu Netto,18.7935025,50.2985434
ZAB03N,Na parkingu strzeżonym,18.7891065,50.2930115
ZAB03M,Na parkingu firmy Instalbud,18.7956779,50.2750552
ZAB03APP,Posesja Zabrze Sikorskiego,18.80818,50.28088
ZAB02M,Przy Hurtowni BHP,18.7362463,50.3043607
ZAB02G,Obok parkingu,18.76506,50.35282
ZAB02B,Galeria Zabrze- wejście od strony ul.Barbary,18.7833052,50.306975
ZAB02APP,Centrum Materiałów Budowlanych Zabrze Wolności,18.7759,50.30581
ZAB02A,Carrefour Zabrze Chopina,18.78191,50.33524
