id,location,lon,lat
ZAK02N,Przy sklepie Euro,19.9425664,49.293267
ZAK10M,przy skrzyżowaniu ul. Piłsudskiego i Makuszyńskiego,19.9607094,49.288746
ZAK01M,Przy sklepie Pepco,19.9570935,49.2932598
ZAK06M,przy wjeździe do hotelu,19.9553915,49.2899674
ZAK12M,przy sklepie Groszek,19.9838633,49.2938223
ZAK02M,Przy sklepie Carrefour Express,19.9667357,49.2876104
ZAK08M,przy wejściu do sklepu Delikatesy Centrum,19.9625138,49.3082174
ZAK07M,obok Restauracji Chatka,19.9857392,49.322006
ZAK09M,Na parkingu sklepu Brutal Market,19.996281,49.3091133
ZAK03M,Na parkingu sklepu ABC,19.9729627,49.3121
