id,location,lon,lat
ZAM04ML,Przy sklepie Stokrotka,23.2519923,50.7268923
ZAM01A,Przy markecie Kaufland,23.2654908,50.7191505
ZAM01C,Stacja paliw Circle K,23.2706019,50.7148366
ZAM01BAPP,Stacja paliw Shell,23.2853032,50.710288
ZAM01N,Przy sklepie meblowym Marcin,23.2693632,50.7073863
ZAM01E,Przy sklepie Lewiatan,23.1074359,50.7237086
ZAM07M,Przy Delikatesach Premium,23.2284841,50.7232115
ZAM05M,Przy Lidlu,23.247087,50.7238254
ZAM01W,Na myjni 24h,23.2473844,50.7382363
ZAM03N,"Obok myjni, przy automacie do ściereczek",23.2860197,50.7088609
ZAM09M,przy Salonie Wędkarskim Salmo,23.2869095,50.7187458
ZAM02W,Na myjni 24h,23.2603547,50.7072825
ZAM04A,Na stacji paliw BP,23.2843872,50.7216703
ZAM05A,Przy spółdzielni mieszkaniowej,23.2451388,50.7311475
ZAM03M,Prz PSS Społem,23.2512741,50.7332136
ZAM04N,Parking przed wejściem do sklepu Prymus AGD,23.2608908,50.7265139
ZAM02M,Przy PSS Społem,23.2681012,50.7317693
ZAM04M,Przy Lidlu,23.2514507,50.7396124
ZAM07N,Przy sklepie spożywczym,23.2731345,50.7365597
ZAM01ML,Stacja paliw Circle K,23.2585311,50.7219828
ZAM03W,Na myjni 24h,23.2753269,50.7059064
ZAM01M,Przy sklepie meblowym Bratpol,23.2700065,50.7120127
ZAM06N,Park handlowy Na Hrubieszowskiej,23.2800383,50.7140524
ZAM03A,Przy markecie Biedronka,23.234525,50.7168498
ZAM05N,Przy Domu Handlowym Snop,23.226829,50.7143142
ZAM08M,Na myjni 24H,23.2183577,50.7122797
ZAM12M,Przy SKP,23.2473463,50.7432139
ZAM11M,Społem LUX,23.22618,50.71903
ZAM10M,Przy biurowcu,23.261126,50.7169476
ZAM06M,Przy Lidlu,23.2848521,50.7087147
ZAM02N,Przy Revia Park,23.2524211,50.7396651
