id,location,lon,lat
ZGI11N,Przy fryzjerze dla zwierząt i filii związku kynologicznego,19.4444971,51.8371304
ZGI08M,na terenie myjni,19.40564,51.85915
ZGI13N,Przy sklepie Delfin,19.3952176,51.8705896
ZGI01ML,Przy Drukarni DIGICOM,19.4003216,51.863192
ZGI10N,Przy sklepie spożywczym PSS Zgoda,19.4267733,51.8574538
ZGI01M,Przy Restauracji U Górolki,19.399154,51.8562274
ZGI02ML,Market Dino,19.42076,51.85694
ZGI09M,Przy sklepie Społem.,19.43582,51.85234
ZGI05N,Przy aptece Verbena,19.38053,51.86218
ZGI12N,Na terenie myjni samoobsługowej,19.42211,51.83652
ZGI07N,Przed sklepem spożywczym,19.4340736,51.8722182
ZGI06M,Tył sklepu Żabka.,19.416697,51.8539811
