id,location,lon,lat
ZIE01A,Przy sklepie Apimarket,21.154863,52.3080652
ZIE01F,Przy sklepie z zabawkami Gonzi,21.190532,52.3139233
ZIE04M,Na parkingu Lidl,21.1550761,52.3000405
ZIE02M,"Przy myjni bluwash, po prawej stronie obiektu",21.1670758,52.3069089
PNET0905,Przy pawilonach handlowych,21.150309,52.2991002
ZIE02A,Przy budynku handlowo - usługowym,21.1478196,52.3144955
ZIE05M,"Przy stacji BP, obok parkingu",21.1417541,52.3135378
ZIE01M,Za sklepem Żabka,21.1405592,52.3140395
ZIE01AP,Przy sklepie monopolowym,21.1592647,52.3151513
ZIE01HP,w sklepie Auchan,21.1638396,52.3035264
ZIE06M,przed budynkiem usługowym,21.1585158,52.3027029
ZIE07M,parking przed sklepem,21.1634144,52.3165198
