id,location,lon,lat
BYD01A,Przy markecie Czerwona Torebka,17.9843245,53.1131863
BYD01N,Stacja paliw BP,18.0510992,53.1199864
BYD22A,Przy markecie POLOmarket,18.1218058,53.1521491
BYD14A,Przy markecie Netto,17.9568115,53.1173477
BYD19A,Przy biurowcu Foton,17.9804186,53.1178445
BYD37N,Przy wjeździe na parking sklepu Aldi,18.0456242,53.1258922
BYD31M,Na parkingu LIDL,17.9794699,53.1189971
BYD04N,Przy markecie Biedronka,18.1623272,53.1575306
BYD16A,Przy markecie Kaufland,18.0394028,53.107519
BYD05A,Przy sklepie ACTION,18.1578649,53.1587992
BYD10N,Przy Centrum Handlowym Balaton,18.0535595,53.1260054
BYD43N,Przy Auto-Reno-Lak,18.0572176,53.1026011
BYD45A,Przy sklepie Lewiatan,18.0225719,53.1146773
BYD36N,Na parkingu przy sklepie Aldi,18.1613078,53.1643775
BYD04M,Przy sklepie Biedronka,17.9574864,53.1369703
BYD01M,Parking NOT wjazd od str. Św. Floriana,18.0111848,53.1220873
BYD41M,Market Dino,17.9165829,53.1332948
BYD57M,Na posesji prywatnej,17.9716354,53.147345
BYD21N,Przy kinie Adria,18.0115211,53.119095
BYD83M,Posesja prywatna,17.9939846,53.1205929
BYD35M,Na parkingu Rozłogi 1A,18.0275451,53.1037632
BYD72M,Przy posesji,17.9812928,53.127955
BYD13M,Po prawej stronie od wejścia do salonu kosmetycznego Styl,18.1503534,53.1562873
BYD38A,Za stacją Amic Energy,18.1302545,53.1471602
BYD80M,Przy obiekcie handlowym,17.952525,53.1264202
BYD39N,Przy prywatnej posesji,17.926641,53.1356387
BYD07A,Przy cukierni,18.1554273,53.1502521
BYD60M,na działce,18.0297087,53.1430865
BYD78M,Przy cukierni,18.135741,53.1492068
BYD20N,Przy sklepie rybnym Lin,17.9228903,53.1331672
BYD71M,Mechanik samochodowy,18.001416,53.133525
BYD01H,W lokalu,17.99292,53.11807
BYD20M,Na parkingu sklepu Lidl,18.013488,53.1155575
