id,location,lon,lat
KAT03A,Przy markecie Auchan,18.9495167,50.2301581
KAT04A,Przy Simply Market,18.9693821,50.2200028
KAT127M,na parkingu przy sklepie Biedronka,18.9690001,50.2185064
KAT13M,Przy sklepie NETTO,18.978573,50.1959811
KAT09N,Stacja paliw Circle K,18.983715,50.1937753
KAT02M,Przy piekarni Kłos,18.979115,50.2059554
KAT01N,Przy markecie Intermarche,18.9756643,50.1998417
KAT25M,Przy sklepie Lidl,18.975651,50.2339892
KAT135M,Przy PSS Społem,19.0050738,50.252853
KAT02H,W wolnostojącym pawilonie po prawej stronie budynku przy Poniatowskiego 19,19.0111017,50.2508511
KAT71M,SHELL Katowice Rozdzieńskiego,19.06615,50.27159
KAT57M,Parking Strzelców Bytomskich 17,19.0695635,50.278219
KAT39M,Przy Hallera 18,19.0783959,50.2700189
KAT15N,Studio ruchu i tańca ADS,19.1099679,50.260159
KAT143M,na parkingu przy budynku ul. Deszczowa 12,19.07463,50.27393
KAT05APP,TTW OPEX Katowice,19.0724,50.27754
KAT01HP,w sklepie Duży Ben,19.09439,50.26271
KAT01B,obok przystanku autobusowego przed firmą Elbud,19.08822,50.26368
PNET0916,Parking strzeżony przy ul. Ułańskiej/Tysiąclecia,18.9648,50.28519
KAT91M,po prawej stronie sklepu Żabka,18.98774,50.21244
KAT90M,po prawej stronie budynku,18.97574,50.20422
KAT85M,"przed budynkiem mieszkalnym, naprzeciwko szpitala Górnośląskie Centrum Medyczne",18.99643,50.21149
KAT83M,na parkingu przed sklepem Żabka,18.9717046,50.1765302
KAT80M,na parkingu wewnętrznym kościoła przy ul. Bukszpanowej,18.96926,50.19473
KAT78M,"przy osiedlowym boisku, pomiędzy ul. Zbożową, ul. Szewską i ul. Targową",18.98059,50.21313
KAT77M,przy parkingu obok bloku ul. Radockiego nr. 174,18.9874379,50.2020733
KAT76M,"przy budynku Poczty Polskiej, po przeciwległej stronie budynku",18.9877334,50.2152022
KAT75M,przy budynku kotłowni osiedlowej,18.9829574,50.2093947
KAT74M,SHELL Katowice Kościuszki 322,18.9844,50.21871
KAT69M,na parkingu marketu Stokrotka,18.98424,50.20325
KAT68M,przed wjazdem na posesję ul. Boya Żeleńskiego 15A,18.9923226,50.1908783
KAT66M,"parking przed budynkiem, równolegle do ul. Wileńskiej",18.96387,50.22354
KAT65M,"Dojazd od ul. Spokojnej, wjazd w drogę osiedlową, naprzeciwko targowiska przy bloku ul. Spokojna 43",18.9864,50.20692
KAT64M,PRZY WJEZDZIE NA TEREN MYJNI,18.9837881,50.1979711
KAT63M,Spożywczy Katowice Żurawia 80,18.9644045,50.2077983
KAT61M,Parking sklepu Lidl,18.9392507,50.2298005
KAT58M,Apartamenty Hiacynt Katowice,18.98182,50.18867
KAT55M,obok pawilonu handlowego,18.9740868,50.2204879
KAT44M,Na parkinu samochodowym,18.9248988,50.2245683
KAT43M,Przy wejściu do sklepu,18.9635835,50.1979303
KAT41M,Przy bloku mieszkalnym,18.96025,50.22246
KAT32A,przy punkcie Kolporter,18.99029,50.20172
KAT26A,Przy przychodni Revital,18.99818,50.18363
KAT25N,Na myjni samoobsługowej,18.9897897,50.207494
KAT22M,Parking Lidl,18.974538,50.2793949
KAT22A,Parking przy Żłobku Misiowy Zakątek,18.97248,50.27049
KAT21N,Sklep Euro przy Grota-Roweckiego,18.93996,50.18208
KAT154M,Posesja Katowice Panewnicka 360,18.92092,50.22864
KAT151M,Kaufland Katowice Famur,18.97601,50.21348
KAT148M,"przy Klubie Osiedlowym, na tylnej ścianie sklepu Żabka",18.978931,50.2124417
KAT145M,obok budynku sklepu Społem,18.9435,50.22943
KAT139M,na targowisku miejskim,18.97284,50.27989
KAT138M,na parkingu obok budynku ul. Bażantów 41,18.98836,50.19873
KAT136M,Posesja Katowice Wymysłów Tylna 8,18.93853,50.22534
KAT133M,przed budynkiem akademików,18.957728,50.2262927
KAT125M,u zbiegu ul. Asnyka i ul. Kosynierów,18.97086,50.21408
KAT123M,na parkingu,18.97528,50.19251
KAT118M,obok garaży,18.99371,50.2075
KAT117M,przed budynkiem,18.96354,50.20097
KAT105M,na parkingu przed sklepem,18.9910434,50.1938344
KAT103M,przed budynkiem,18.96814,50.20729
KAT06APP,na parkingu budynku usługowo-handlowego,18.97797,50.18253
KAT02HP,w sklepie Duży Ben,18.98988,50.20642
KAT02A,Obok bankomatu PKO BP,18.9885342,50.2041745
KAT01M,Na parkingu przy Pracowni Projektowej,18.95416,50.22939
