id,location,lon,lat
KRA46A,Na parkingu przy sklepie Lidl,19.9127913,50.0255314
KRA282M,Przy bloku nr 103,19.9106043,50.0241023
KRA33BAPP,"Appkomat InPost, aby skorzystać z tego urządzenia zainstaluj aplikację InPost. Płatność apką InPost oraz PayByLink. Obsługuje paczki max. 25 kg, 41 × 38 × 64 cm. Posiada Strefę Ułatwionego Dostępu.",19.9671782,50.0889567
KRA05N,Paczkomat przy banku BPH,19.9617136,50.0664519
KRA22M,Paczkomat przy stacji Circle K,19.9623679,50.0846394
KRA31A,Aleja Generała Tadeusza Bora-Komorowskiego,19.9850691,50.0871367
KRA45A,Paczkomat przy budynku Copernicus,19.9939956,50.0798342
KRA15A,Przy markecie Kaufland,20.0220011,50.0149506
KRA01N,Przy sklepie Market Point,20.0343049,50.0181048
KRA15N,Paczkomat Inpost KRA15N,20.053023,50.0156096
KRA281M,FACTORY PARK ul. Przemysłowa 12,19.9601448,50.0484426
KRA28N,Na bocznej ścianie Galerii Bronowice,19.8954271,50.0928
KRA29M,Paczkomat InPost KRA29M,20.0507635,50.0226183
KRA09AP,Przy markecie Kaufland - Paczkomat Hi-Shine,20.0220891,50.0149968
KRA31M,Na parkingu sklepu LIDL,20.0016176,50.0737813
KRA68M,Paczkomat Inpost KRA68M,20.0505745,50.0193476
KRA69M,Paczkomat przy Opolska Business Park,19.9552286,50.08722
KRA84M,Parking przy sklepie owocowo - warzywnym (obok ul. Lea 82),19.9095938,50.0716505
KRA164M,Przy parkingu restauracji Da Marco,19.9715351,50.0667145
KRA390M,Stacja paliw Krak-Tar,19.9250434,50.0379741
PNET0909,"Sklep Społem, po lewej stronie od wejścia",20.06503,50.0795393
KRA262M,Obok wjazdu do Jednostki Wojskowej,19.9277716,50.0767594
KRA181M,Parking przed Zakładem Produkcyjnym Opakowań Wykwintnych,19.9862434,49.9851793
KRA317M,Na Łąkach 7,20.0067059,50.0664969
KRA192M,Z tyłu biurowca PODIUM PARK,19.9993335,50.075087
KRA193M,Przy ścianie frontowej Budynku Wydziału Mechanicznego,19.9976954,50.0746581
KRA235M,"Przy wjeździe na parking, obok Lokali handlowych",20.0058157,50.0755406
KRA311M,Przy wjeździe do strefy handlowo przemysłowej,20.0176772,50.0620366
KRA187M,Przed ogrodzeniem posesji od strony ul.Gromady Grudziąż,19.9592282,50.0150363
KRA279M,Frontowa Ściana Sklepu,19.8849633,50.079004
KRA118M,Dajwór,19.9491256,50.0517406
KRA417M,przy skrzyżowaniu ul. Jaremy i Gnieźnieńskiej,19.9069409,50.0865333
KRA24M,Przy sklepie zoologicznym,19.919448,50.0755163
KRA322M,PRZY BUDYNKU ul. STRÓŻA RYBNA 20,19.9832042,50.0440077
KRA357M,Parking na końcu bloku,20.0546403,50.0185844
KRA349M,Rej. skrzyżowania ul. Jabłonnej i Siewnej,19.9553378,50.0916638
KRA46M,Przed wejściem do sklepu Żabka,19.9863652,50.0442985
KRA190M,Od strony ulicy Balickiej,19.887875,50.0823837
KRA230M,Przy chodniku,19.8661533,50.0651589
KRA341M,posesja Przewóz 49,19.9943083,50.0409233
KRA379M,W ogrodzeniu po prawej strony od bramy,19.9685283,50.0914097
KRA19APP,Przy bloku ul. Przewóz 40A,19.996108,50.0407668
KRA339M,Przy skrzyżowaniu,19.9840723,50.0933934
KRA398M,"Obok parkingu, środkowy Paczkomat",20.0009815,50.0820803
KRA333M,z tyłu Pawilonu od str. ul. Bosaków,19.9633974,50.0839648
KRA401M,Adama Próchnika 64,20.008364,50.1023893
KRA13M,Przy sklepie Lewiatan,20.0219851,50.0874951
KRA327M,Przy Centrum Kształcenia Zawodowego i Ustawicznego (z boku budynku),20.0475733,50.0792813
KRA399M,Bitwy nad Bzurą,20.0109865,50.0984716
KRA400M,przy skrzyżowaniu obok sklepu Shot,20.0099728,50.1003409
KRA386M,Obok Centrum Zdrowia i Profilaktyki,19.9797395,50.0573684
KRA256M,posesja Mały Płaszów 16,20.0027739,50.0419124
KRA11HP,Paczkomat przy wejściu głównym w środku budynku,19.9999996,50.0121222
KRA410M,Parking ul. Zaczarowane Koło 2,19.9021791,50.078405
KRA08BAPP,Z tyłu budynku przy parkingu,20.0275994,50.0665513
KRA07BAPP,Przy bloku mieszklanym,19.9053798,50.0722066
KRA423M,Paczkomat znajduje się na parkingu,19.9082649,50.0630016
KRA150M,Przejście pomiędzy parkingiem sklepu MILA a ul. Jadźwingów,20.0201316,50.0969667
KRA58M,Obok sklepu Delikatesy Centrum,20.0201082,50.097268
KRA326M,Przy pawilonie handlowym od strony parkingu,19.9806785,50.0769707
KRA03HO,"W budynku Kaufland, na pierwszym piętrze holu Klubu Fitness Platinium",19.935559,50.084217
KRA04BAPP,Przy bloku - Aleja Pokoju 89,20.0123195,50.0685763
KRA52BAPP,ul. Mariana Domagały obok nr 27,20.0513676,50.0268793
KRA06MP,Stacja paliw Circle K,19.9726589,50.0661483
KRA185M,przy skrzyżowaniu ulic Wileńskiej z Celarowską,19.9546374,50.0820312
