id,location,lon,lat
POZ12N,Przy sklepie spożywczym,16.8365976,52.4087996
POZ16B,Stacja paliwowa Amic,16.972642,52.4100829
POZ26A,Stacja paliw BP,16.9779407,52.4267978
POZ09ML,Przy markecie Biedronka,16.9224574,52.4517629
POZ38A,Przy prywatnej posesji,16.97535,52.4223567
POZ11A,Stacja paliw Shell,16.9687736,52.3996685
POZ01M,Przy pasażu handlowym,16.986958,52.3911967
POZ48N,Na tyłach stacji paliw Circle K,16.9811265,52.3916294
POZ42N,Przy sklepie Stokrotka,17.0243329,52.4077339
POZ25A,Przy sklepie Decathlon,16.9505833,52.4320227
POZ15M,przy hurtowni GRACJA,16.9437217,52.4358815
POZ31M,Na parkingu sklepu Lidl,16.9935328,52.3930139
POZ52A,Niezabudowana działka od strony ul. Wachowiaka,16.9232003,52.4487482
POZ47N,Myjnia samochodowa F1 CarWash,16.8319067,52.4126786
POZ85M,position estimated,16.96133,52.4445542
POZ49M,Przy Hotelu Dorrian,16.8931682,52.3992503
POZ22A,Stacja paliw BP,16.8891462,52.4065826
POZ146M,Na tyłach restauracji,16.9856738,52.4101599
POZ17N,Przy sklepie Carrefour,16.9844694,52.4090896
POZ126M,Parking hotelowy (dla Klientów InPost bezpłatny do 20minut),16.974027,52.408076
POZ206M,Prywatna posesja,17.0226834,52.4055414
POZ281M,Przy budynku produkcyjnym,16.9523081,52.4117099
POZ223M,Teren prywatnej posesji,17.0106491,52.4078618
POZ29N,Przy bramie wjazdowej,16.8838565,52.4135449
POZ100M,Przy wjeździe od ul. Lwowskiej,16.964264,52.400824
POZ147M,Przy parkingu,16.9624548,52.3992687
POZ10B,Przy sklepie Kaufland,16.9272034,52.4353022
POZ227M,teren zielony przy stacji Shell,16.9691796,52.3997794
POZ239M,teren zielony przy budynku,16.9747813,52.3933248
POZ190M,Przy Siedzibie ZKZL,16.8699327,52.406817
POZ13M,Przy Lidlu,16.8739088,52.3785705
POZ244M,Drogeria,16.869985,52.407749
POZ203M,Za pasażem handlowym,16.8717118,52.4092701
POZ213M,Przy zakładzie optycznym,16.872093,52.4075438
POZ88M,"Za Apteką Wrzosowa, od strony ul. Turkusowej",16.9043174,52.4305275
POZ251M,Przy bloku mieszkalnym os. Dębina 7,16.9058246,52.36007
POZ232M,Szczyt bloku od ul. Rolnej,16.9177566,52.3837519
POZ02H,W lokalu użytkowym,16.9211199,52.407694
POZ163M,przy markecie Stokrotka,16.9840029,52.3878906
POZ04A,Stacja paliw Shell,16.8681166,52.4104998
POZ50A,Na parkingu przy sklepie Lidl,16.9085814,52.4593766
POZ267M,obok parkingu,16.9095998,52.4227348
POZ84M,Parking samochodowy,16.9124913,52.4350058
POZ26N,Przy markecie Biedronka,16.9826549,52.3867598
POZ19HP,w sklepie Duży Ben,16.9378636,52.4083315
POZ129M,parking Lidla,16.943648,52.3849636
POZ04H,pawilon handlowo-usługowy Równość,16.9440593,52.3867773
POZ43N,Przy parkingu strzeżonym,16.9464579,52.3906663
POZ104M,Przy pływalni miejskiej Rataje,16.9440985,52.3931384
POZ02B,Stacja paliw BP,16.8339018,52.4136842
