id,location,lon,lat
SZC102M,Przy sklepie Społem,14.5038013,53.4325218
SZC19A,Przy Centrum Handlowym Manhattan,14.5515778,53.4429924
SZC45M,Przy parkingu biurowca Oxygen,14.5554131,53.4354268
SZC26A,Przed zakładem wulkanizacyjnym,14.4802409,53.4948575
SZC07H,W Lokalu,14.4915777,53.3952791
SZC06H,W lokalu,14.5737015,53.450131
SZC116M,Przy Outlecie Velpa,14.4775641,53.4550865
SZC75M,Na parkingu przy stacji kolejowej PKP Szczecin Zdroje,14.6362481,53.3788644
SZC21L,na posesji,14.6325736,53.3791277
SZC154M,Przy domu studenckim,14.5378259,53.4523
