id,location,lon,lat
TOR12N,Przy markecie Decathlon,18.6418677,53.0230959
TOR16A,Na parkingu przy parking CUK,18.5914462,53.0138684
TOR18M,Na parkingu,18.5702247,53.0129643
TOR21N,Przy banku PKO SA i przychodni,18.5957751,52.9935801
TOR42M,na parkingu Polomarket,18.6168596,53.0255241
TOR29M,Na parkingu Kaufland,18.5894508,53.0169784
TOR10N,pasaż handlowy Stacja Północ,18.5880355,53.0331357
TOR02A,Przy markecie Twój Market,18.6015897,53.0202862
TOR41M,przy pawilonie Maciej,18.6766367,53.0232535
TOR06M,Za cukiernią,18.6130161,53.0192895
TOR22M,Przy sklepie spożywczym ABC,18.5913375,53.0284236
TOR18A,Przy Intermarche,18.5980122,53.0418601
TOR43M,na parkingu Polomarket,18.5939878,52.9937138
TOR26N,Przy Kościele,18.5805232,53.041394
TOR15N,Przy posesji prywatnej,18.6340803,53.0171558
TOR32N,Przy sklepie Żabka,18.5766936,53.0120599
TOR44M,na parkingu Polomarket,18.5642851,53.0177367
TOR08A,Stacja BP,18.6644074,53.0249414
TOR28M,Przy markecie Torimpex,18.6123198,53.0258279
TOR18N,Przy sklepie Żabka,18.5836911,53.0211245
TOR03A,Przy markecie Netto,18.6076677,53.0165132
TOR53M,na parkingu sklepu,18.6217673,52.9969443
TOR16N,Przy salonie BRW,18.6246996,52.9962005
TOR47M,Przy sklepie spożywczym,18.6236767,52.9948981
TOR20M,Obok myjni samochodowej,18.6171581,52.9947131
TOR01M,Na parkingu przy administracji SM Rubinkowo,18.6714076,53.0285345
TOR29N,Przy sklepie Aldi,18.5996504,53.0352203
TOR24N,Przy piekarni U Dziadka,18.6111685,53.0246731
TOR31N,Przy sklepie Żabka,18.6503917,53.0234418
TOR06A,Przy sklepie Carrefour,18.6758013,53.0240127
TOR34M,na parkingu Toruń Plaza,18.5632468,53.0152764
TOR52M,przy bloku nr 42,18.6836563,52.9833462
TOR09M,Na parkingu Piotr i Paweł od strony Wielkiego Rowu,18.6026164,53.0331898
TOR06N,Przy parkingu firmy Sellmet,18.6265053,53.0440066
TOR04N,Stacja paliw AMIC ENERGY,18.5843307,53.0137418
TOR15M,Na parkingu sklepu Lidl,18.6325803,52.9909303
TOR27M,Na parkingu sklepu Torimpex,18.6740941,53.0285101
TOR02M,Przy sklepie Sumik,18.6612385,53.0284531
